Family , Metal Loading [wt.%],CR Metal [pm], Support 1,MW Support 1 [g mol-1],Name of Support2,MW of Support 2 [g mol-1],Name of Support 3,MW Support 3 [g mol-1],Total MW of Support [g mol-1], Promoter 1,Promoter 1 loading [wt.%],Promoter 2,Promoter 2 loading [wt.%],Calcination Temperature [K],Calcination duration [h],SBET [m2 g-1],H2/CO2 [-],GHSV [cm3 h-1 gcat-1],Catalyst amount [g],Pressure [Mpa],Temperature [K],STY [mgh-1 g-1],
Cu,60,138,ZnO,81.38,0,0,0,0,81.38,0,0,0,0,723,2,22.4,3,1500,0.3,3,513,69.5,https://doi.org/10.1016/j.fuel.2015.03.052
In2O3,99.97,144,0,0,0,0,0,0,0,Pt,0.03,0,0,723,3,86.1,3,24000,0.1,2,533,69.35,https://doi.org/10.1016/j.jcat.2020.06.018
Pd,5,131,TiO2,79.86,0,0,0,0,79.86,0,0,0,0,623,3,48,3,3600,0.5,2,498,68.96,https://doi.org/10.1002/cctc.202000974
Cu,15.1,138,ZnO,81.38,0,0,0,0,81.38,Ga ,5.1,0,0,623,3,5,3,10000,0.15,3,533,68.64,https://doi.org/10.1016/j.cattod.2014.06.012
Cu,39,138,ZnO,81.38,Al2O3,101.96,ZrO2,123.22,306.56,0,0,0,0,773,5,79,3,12000,0.5,5,463,68,https://doi.org/10.1016/j.cattod.2016.02.004
Cu,61,138,ZnO,81.38,0,0,0,0,81.38,0,0,0,0,773,5,79,3,12000,0.5,5,463,68,https://doi.org/10.1016/j.cattod.2016.02.004
Cu,4.7,138,SiO2,60.08,0,0,0,0,60.08,Zn,2.3,Ga,1.5,773,5,79,3,12000,0.5,5,463,68,https://doi.org/10.1016/j.cattod.2016.02.004
Pd,11.65,131,CeO2,172.12,0,0,0,0,172.12,Zn,5,0,0,773,5,42,3,2400,0.5,2,493.06,67.11,https://doi.org/10.1016/j.apcata.2019.117185
Cu,42.5,138,ZnO,81.38,Al2O3,101.96,0,0,183.34,Pd,9.2,0,0,673,4,30.1,3,23800,0.5,4,433,66.88,https://doi.org/10.1006/jcat.2002.3676
Cu,15.1,138,ZnO,81.38,0,0,0,0,81.38,Ga ,5.1,0,0,623,3,5,3,10000,0.15,3,533,66.62,https://doi.org/10.1016/j.cattod.2014.06.012
Cu,16.2,138,ZnO,81.38,0,0,0,0,81.38,Ga ,4.6,0,0,623,3,10,3,10000,0.15,3,543,66.46,https://doi.org/10.1016/j.cattod.2014.06.012
Cu,16.2,138,ZnO,81.38,0,0,0,0,81.38,Ga ,4.6,0,0,623,3,10,3,10000,0.15,3,543,66.4,https://doi.org/10.1016/j.cattod.2014.06.012
Cu,10,138,Al2O3,101.96,ZnO,81.38,ZrO2,123.22,306.56,Mn ,5,0,0,873,6,189.7,3,4320,5,2,523,66.38,https://doi.org/10.1016/j.jiec.2015.03.001
Cu,4.7,138,SiO2,60.08,0,0,0,0,60.08,Zn,2.3,Ga,1.5,873,2,137,3,18000,0.5,2,523,66.3,https://doi.org/10.1016/S0926-3373(00)00205-8
Cu,29.5,138,ZnO,81.38,ZrO2,123.22,0,0,204.6,0,0,0,0,673,5,90.9,5,1500,1,3,503,66.08,https://doi.org/10.1016/j.apcata.2013.10.010
Pd,5,131,CeO2,172.12,0,0,0,0,172.12,Zn,5,Ca,0.5,773,3,67.39,3,2400,0.5,3,493,66.07,https://doi.org/10.1016/j.apcata.2018.04.036
