Family , Metal Loading [wt.%],CR Metal [pm], Support 1,MW Support 1 [g mol-1],Name of Support2,MW of Support 2 [g mol-1],Name of Support 3,MW Support 3 [g mol-1],Total MW of Support [g mol-1], Promoter 1,Promoter 1 loading [wt.%],Promoter 2,Promoter 2 loading [wt.%],Calcination Temperature [K],Calcination duration [h],SBET [m2 g-1],H2/CO2 [-],GHSV [cm3 h-1 gcat-1],Catalyst amount [g],Pressure [Mpa],Temperature [K],STY [mgh-1 g-1],
Cu,43.84,138,ZnO,81.38,0,0,0,0,81.38,0,0,0,0,673,4,26.3,3,2399.79,0.5,3,513,50.37,https://doi.org/10.1016/j.apsusc.2015.02.122
Cu,39,138,ZnO,81.38,TiO2,79.86,0,0,161.24,0,0,0,0,673,4,69,3,2400,0.5,3,473,50.25,https://doi.org/10.1002/ente.201402091
In2O3,20,144,ZrO2,123.22,0,0,0,0,123.22,0,0,0,0,900,2,91,3,9000,0.5,2,633,50.14,https://doi.org/10.1016/j.cattod.2020.03.011
Cu,23.61,138,ZnO,81.38,Al2O3,101.96,0,0,183.34,0,0,0,0,623,4,90,3,1500,0.7,4,513,50,https://doi.org/10.1016/j.jcou.2016.11.015
Cu,12.5,138,ZnO,81.38,SiO2,60.08,0,0,141.46,0,0,0,0,623,4,90,3,1500,0.7,4,513,50,https://doi.org/10.1016/j.jcou.2016.11.015
Cu,46.57,138,ZnO,81.38,0,0,0,0,81.38,Pd ,2.11,0,0,623,4,90,3,1500,0.7,4,513,50,https://doi.org/10.1016/j.jcou.2016.11.015
In2O3,7.5,144,ZrO2,123.22,0,0,0,0,123.22,0,0,0,0,773,3,177,4,24000,0.1,5,553,50,https://doi.org/10.1016/j.jcou.2016.11.015
Cu,44,138,ZnO,81.38,0,0,0,0,81.38,0,0,0,0,673,4,30,3,2400,0.5,3,493,49.92,https://doi.org/10.1002/ente.201402091
Pd,18.1,131,ZnO,81.38,0,0,0,0,81.38,0,0,0,0,773,3,7.1,9,7500,0.5,0.1,523,49.82,https://doi.org/10.1007/s10562-015-1627-z
Cu,37,138,ZnO,81.38,ZrO2,123.22,0,0,204.6,0,0,0,0,623,3,17.8,3,1800,0.5,3,533,49.59,https://doi.org/10.1016/j.jcat.2010.01.009
Cu,8.6,138,TiO2,79.86,0,0,0,0,79.86,Pd,4.9,0,0,723,5,13,3,3600,0.2,4.1,523,49.54,https://doi.org/10.1016/j.apcata.2019.117210
Cu,12.8,138,ZrO2,123.22,CNT,12,0,0,135.22,0,0,0,0,623,2,154,3,3600,0.5,3,513,49.4,https://doi.org/10.1039/C5RA04774A
Cu,34,138,ZnO,81.38,TiO2,79.86,0,0,161.24,0,0,0,0,673,4,123,3,2400,0.5,3,473,49.33,https://doi.org/10.1002/ente.201402091
Cu,17.5,138,ZnO,81.38,0,0,CeO2,172.12,253.5,0,0,0,0,623,4,61,3,8800,0.5,3,473,49.22,https://doi.org/10.1016/j.cattod.2011.04.038
Cu,16.2,138,ZnO,81.38,0,0,0,0,81.38,Ga ,4.6,0,0,623,3,10,3,10000,0.15,3,523,48.96,https://doi.org/10.1016/j.cattod.2014.06.012
Cu,44.935,138,ZnO,81.38,ZrO2,123.22,0,0,204.6,Nd,5,0,0,673,5,67.4,3,2240,1,3,523,48.61,https://doi.org/10.1016/j.catcom.2014.05.014
Cu,10,138,Al2O3,101.96,ZnO,81.38,ZrO2,123.22,306.56,Mn ,5,0,0,873,6,189.7,3,4320,5,2,563,48.55,https://doi.org/10.1016/j.jiec.2015.03.001
In2O3,89.2,144,0,0,0,0,0,0,0,Ir,10.8,0,0,723,3,68,4,21000,0.2,5,473,48.1,https://doi.org/10.1021/acscatal.0c05628
Cu,33.5,138,ZnO,81.38,ZrO2,123.22,TiO2,79.86,284.46,0,0,0,0,673,4,38.7,3,2399.79,0.5,3,533,48.08,https://doi.org/10.1016/j.apsusc.2015.02.122
Cu,10,138,Al2O3,101.96,ZnO,81.38,ZrO2,123.22,306.56,Mn ,5,0,0,873,6,189.7,3,2880,5,2,523,48.07,https://doi.org/10.1016/j.jiec.2015.03.001
Cu,35.4,138,ZnO,81.38,TiO2,79.86,0,0,161.24,0,0,0,0,673,4,37.3,3,2399.79,0.5,3,493,47.16,https://doi.org/10.1016/j.apsusc.2015.02.122
Cu,12.5,138,SiO2,60.08,0,0,0,0,60.08,0,0,0,0,823,7,618,3,6000,0.7,5,543,46.9,https://doi.org/10.1016/j.catcom.2016.06.010
Cu,11.96,138,SiO2,60.08,0,0,0,0,60.08,0,0,0,0,823,7,618,3,6000,0.7,5,543,46.9,https://doi.org/10.1016/j.catcom.2016.06.010
Cu,19.5,138,ZrO2,123.22,CeO2,172.12,0,0,295.34,0,0,0,0,623,4,117,3,8800,0.5,3,473,46.86,https://doi.org/10.1016/j.cattod.2011.04.038
Cu,31.5,138,ZnO,81.38,Al2O3,101.96,0,0,183.34,0,0,0,0,623,4,93,3,1500,0.7,4,493,46.8,https://doi.org/10.1016/j.jcou.2016.11.015
Cu,30.3,138,ZnO,81.38,ZrO2,123.22,0,0,204.6,0,0,0,0,673,4,39.1,3,2399.79,0.5,3,533,46.43,https://doi.org/10.1016/j.apsusc.2015.02.122
In2O3,20,144,ZrO2,123.22,0,0,0,0,123.22,0,0,0,0,800,2,110,3,9000,0.5,2,633,46.21,https://doi.org/10.1016/j.cattod.2020.03.011
Cu,14.2,138,ZnO,81.38,0,0,0,0,81.38,Ga ,4.2,0,0,623,3,10,3,10000,0.15,3,543,46.18,https://doi.org/10.1016/j.cattod.2014.06.012
Cu,6,138,ZnO,81.38,0,0,0,0,81.38,Ga,1.9,0,0,873,2,6,3,18000,0.5,2,523,45.28,https://doi.org/10.1016/S0926-3373(00)00205-8
Cu,37,138,ZnO,81.38,ZrO2,123.22,0,0,204.6,0,0,0,0,623,3,10.5,3,1800,0.5,3,513,45.15,https://doi.org/10.1016/j.catcom.2009.05.004
Cu,35.4,138,ZnO,81.38,TiO2,79.86,0,0,161.24,0,0,0,0,673,4,37.3,3,2399.79,0.5,3,533,44.99,https://doi.org/10.1016/j.apsusc.2015.02.122
In2O3,7.1,144,SiO2,60.08,0,0,0,0,60.08,Ni,2,Al,1,673,4,259,3,12000,0.1,0.1,563,44.6,https://doi.org/10.1021/acscatal.7b00848
In2O3,9,144,ZrO2,123.22,0,0,0,0,123.22,0,0,0,0,623,3,38,3,6000,0.2,0.1,543,44.1,https://doi.org/10.1016/j.cej.2021.131767
Cu,8.6,138,TiO2,79.86,0,0,0,0,79.86,Pd,4.9,0,0,723,5,65,3,3600,0.2,4.1,523,43.78,https://doi.org/10.1016/j.apcata.2019.117210
Cu,45.5507,138,ZnO,81.38,ZrO2,123.22,0,0,204.6,Pr,5.3,0,0,673,5,74.1,3,2240,1,3,483,43.7,https://doi.org/10.1016/j.catcom.2014.05.014
Cu,44.935,138,ZnO,81.38,ZrO2,123.22,0,0,204.6,Nd,5,0,0,673,5,67.4,3,2240,1,3,483,43.53,https://doi.org/10.1016/j.catcom.2014.05.014
Cu,18,138,Al2O3,101.96,0,0,0,0,101.96,0,0,0,0,673,4,184,3.8,10588.24,0.17,10,503,43.5,https://doi.org/10.1039/C2CY20604H
Pd,5,131,ZnO,81.38,Al2O3,101.96,0,0,183.34,0,0,0,0,623,3,43.4,3,3600,0.5,3,473,43.42,https://doi.org/10.1016/j.apcata.2016.01.006
In2O3,97.5,144,0,0,0,0,0,0,0,Pt,2.5,0,0,723,3,64.5,3,24000,0.1,2,493,43.41,https://doi.org/10.1016/j.jcat.2020.06.018
Cu,43.84,138,ZnO,81.38,0,0,0,0,81.38,0,0,0,0,673,4,26.3,3,2399.79,0.5,3,493,43.39,https://doi.org/10.1016/j.apsusc.2015.02.122
In2O3,98.93,144,0,0,0,0,0,0,0,Rh,1.07,0,0,723,3,84.6,4,21000,0.2,5,473,43.09,https://doi.org/10.1016/j.cattod.2020.05.020
Cu,31,138,ZnO,81.38,ZrO2,123.22,0,0,204.6,0,0,0,0,623,4,163,3,8800,0.5,1,453,43.04,https://doi.org/10.1016/j.jcat.2007.04.003
Cu,30,138,ZnO,81.38,TiO2,79.86,0,0,161.24,0,0,0,0,673,4,140,3,2400,0.5,3,473,42.99,https://doi.org/10.1002/ente.201402091
Cu,43.84,138,ZnO,81.38,0,0,0,0,81.38,0,0,0,0,673,4,26.3,3,2399.79,0.5,3,533,42.51,https://doi.org/10.1016/j.apsusc.2015.02.122
Cu,17.1,138,Al2O3,101.96,0,0,0,0,101.96,Ba ,5,0,0,673,4,166,3.8,10588.24,0.17,3,503,42.5,https://doi.org/10.1039/C2CY20604H
Cu,15.76,138,ZnO,81.38,Al2O3,101.96,0,0,183.34,0,0,0,0,673,4,166,3.8,10588.24,0.17,10,503,42.4,https://doi.org/10.1039/C2CY20604H
Cu,17.1,138,Al2O3,101.96,0,0,0,0,101.96,Ba ,5,0,0,673,4,166,3.8,10588.24,0.17,10,503,42.4,https://doi.org/10.1039/C2CY20604H
Cu,17.1,138,Al2O3,101.96,0,0,0,0,101.96,Ba ,5,0,0,673,4,166,3.8,10588.24,0.17,36,553,41.9,https://doi.org/10.1039/C2CY20604H
Cu,10,138,Al2O3,101.96,ZnO,81.38,ZrO2,123.22,306.56,Mn ,5,0,0,873,6,189.7,3,4320,5,1.6,543,41.83,https://doi.org/10.1016/j.jiec.2015.03.001
Pd,5,131,TiO2,79.86,0,0,0,0,79.86,Zn,13.78,0,0,623,3,44,3,3600,0.5,2,498,41.5,https://doi.org/10.1002/cctc.202000974
Cu,30,138,ZnO,81.38,ZrO2,123.22,0,0,204.6,Si ,5.4,0,0,623,4,122,3,15600,0.25,2,513,41.3,https://doi.org/10.1016/j.cej.2017.02.010
In2O3,20,144,ZrO2,123.22,0,0,0,0,123.22,0,0,0,0,700,2,119,3,9000,0.5,2,633,40.51,https://doi.org/10.1016/j.cattod.2020.03.011
Pd,5,131,ZnTiO3,242.64,0,0,0,0,242.64,Zn,13.78,0,0,623,3,21,3,3600,0.5,2,498,40.42,https://doi.org/10.1002/cctc.202000974
Cu,17.1,138,Al2O3,101.96,0,0,0,0,101.96,Ba ,5,0,0,673,4,166,3.8,10588.24,0.17,36,533,40.2,https://doi.org/10.1039/C2CY20604H
Cu,2,138,ZnO,81.38,ZrO2,123.22,0,0,204.6,0,0,0,0,623,3,100,3,900,2,8,493,40,https://doi.org/10.1016/j.apcata.2004.09.014
Cu,50.25,138,ZnO,81.38,0,0,0,0,81.38,Pd ,0.35,0,0,623,3,100,3,900,2,8,493,40,https://doi.org/10.1016/j.apcata.2004.09.014
In2O3,4.9,144,ZrO2,123.22,0,0,0,0,123.22,0,0,0,0,773,3,177,4,24000,0.1,5,553,40,https://doi.org/10.1016/j.apcata.2004.09.014
In2O3,4.8,144,Al2O3,101.96,0,0,0,0,101.96,0,0,0,0,773,3,177,4,24000,0.1,5,553,40,https://doi.org/10.1016/j.apcata.2004.09.014
In2O3,100,144,0,0,0,0,0,0,0,0,0,0,0,573,3,112,3,9000,1,4,523,39.96,https://doi.org/10.1016/j.cej.2021.129120
Cu,18,138,Al2O3,101.96,0,0,0,0,101.96,0,0,0,0,673,4,184,3.8,10588.24,0.17,36,553,39.9,https://doi.org/10.1039/C2CY20604H
Cu,37,138,ZnO,81.38,ZrO2,123.22,0,0,204.6,0,0,0,0,623,3,3.3,3,1800,0.5,3,533,39.81,https://doi.org/10.1016/j.jcat.2010.01.009
Cu,16.2,138,ZnO,81.38,0,0,0,0,81.38,Ga ,4.6,0,0,623,3,10,3,10000,0.15,3,523,39.81,https://doi.org/10.1016/j.cattod.2014.06.012
Cu,14.2,138,ZnO,81.38,0,0,0,0,81.38,Ga ,4.2,0,0,623,3,10,3,10000,0.15,3,543,39.65,https://doi.org/10.1016/j.cattod.2014.06.012
Cu,23.61,138,ZnO,81.38,Al2O3,101.96,0,0,183.34,0,0,0,0,623,4,90,3,1500,0.7,4,493,39.3,https://doi.org/10.1016/j.jcou.2016.11.015
Cu,44,138,ZnO,81.38,0,0,0,0,81.38,0,0,0,0,673,4,30,3,2400,0.5,3,473,39.04,https://doi.org/10.1002/ente.201402091
In2O3,12.3,144,Al2O3,101.96,0,0,0,0,101.96,0,0,0,0,623,3,30.4,3,21600,0.5,4,523,39,https://doi.org/10.1002/ente.201800747
Cu,37,138,ZnO,81.38,ZrO2,123.22,0,0,204.6,0,0,0,0,623,3,17.8,3,1800,0.5,3,473,38.93,https://doi.org/10.1016/j.jcat.2010.01.009
Pd,5,131,ZnO,81.38,0,0,0,0,81.38,0,0,0,0,623,3,14,3,3600,0.5,2,498,38.91,https://doi.org/10.1002/cctc.202000974
Pd,2,131,ZnO,81.38,Al2O3,101.96,0,0,183.34,0,0,0,0,623,3,43.4,3,3600,0.5,3,493,38.9,https://doi.org/10.1016/j.apcata.2016.01.006
Cu,14.2,138,ZnO,81.38,0,0,0,0,81.38,Ga ,4.2,0,0,623,3,10,3,10000,0.15,3,533,38.78,https://doi.org/10.1016/j.cattod.2014.06.012
In2O3,24,144,Ga2O3,187.44,0,0,0,0,187.44,0,0,0,0,723,3,65,3,4500,0.5,3,613,38.7,https://doi.org/10.1016/j.apsusc.2019.05.363
Cu,28,138,ZrO2,123.22,0,0,0,0,123.22,0,0,0,0,623,3,166,3,10800,0.5,2,523,38.4,https://doi.org/10.1016/S1872-5813(10)60041-2
Pd,10.9,131,ZnO,81.38,0,0,0,0,81.38,0,0,0,0,623,3,8.6,9,7500,0.5,0.1,523,38.06,https://doi.org/10.1007/s10562-015-1627-z
Cu,8.6,138,TiO2,79.86,0,0,0,0,79.86,Pd,4.9,0,0,723,5,12,3,3600,0.2,4.1,523,38.02,https://doi.org/10.1016/S0167-2991(98)80814-8
Cu,17.1,138,Al2O3,101.96,0,0,0,0,101.96,Ba ,5,0,0,673,4,166,3.8,10588.24,0.17,36,443,37.1,https://doi.org/10.1039/C2CY20604H
Pd,2,131,ZnO,81.38,CNT,12,0,0,93.38,0,0,0,0,573,2,121,3,1800,0,3,523,37.08,https://doi.org/10.1016/j.apcatb.2008.11.018
Cu,14.2,138,ZnO,81.38,0,0,0,0,81.38,Ga ,4.2,0,0,623,3,10,3,10000,0.15,3,533,36.96,https://doi.org/10.1016/j.cattod.2014.06.012
Cu,37,138,ZnO,81.38,ZrO2,123.22,0,0,204.6,0,0,0,0,623,3,3.3,3,1800,0.5,3,513,36.61,https://doi.org/10.1016/j.jcat.2010.01.009
In2O3,100,144,0,0,0,0,0,0,0,0,0,0,0,573,3,112,4,9000,1,4,523,36.59,https://doi.org/10.1016/j.cej.2021.129120
Pd,5,131,TiO2,79.86,0,0,0,0,79.86,0,0,0,0,623,3,48,3,3600,0.5,2,473,36.48,https://doi.org/10.1002/cctc.202000974
In2O3,99.67,144,0,0,0,0,0,0,0,Ag,0.34,0,0,623,3,89.34,4,21000,0.2,5,498,36.47,https://doi.org/10.1016/j.gee.2021.05.004
In2O3,100,144,0,0,0,0,0,0,0,0,0.03,0,0,723,3,82.81,4,21000,0.2,5,498,36.35,https://doi.org/10.1016/j.gee.2021.05.004
Cu,27,138,ZnO,81.38,Al2O3,101.96,0,0,183.34,0,0,0,0,623,4,105,3,8800,0.5,1,453,36.33,https://doi.org/10.1016/j.jcat.2007.04.003
In2O3,6.2,144,Al2O3,101.96,0,0,0,0,101.96,0,0,0,0,623,3,19.4,3,21600,0.5,4,573,36,https://doi.org/10.1002/ente.201800747
In2O3,100,144,0,0,0,0,0,0,0,0,0,0,0,623,4,65.8,4,21000,0.2,5,498,35.72,https://doi.org/10.1039/D0GC01597K
Cu,8.6,138,SiO2,60.08,0,0,0,0,60.08,Pd,4.9,0,0,723,5,309,3,3600,0.2,4.1,523,35.71,https://doi.org/10.1016/j.apcata.2019.117210
Pd,5,131,SiO2,60.08,0,0,0,0,60.08,Cu,6,0,0,723,5,309,3,3600,0.2,4.1,523,35.71,https://doi.org/10.1016/j.apcata.2019.117210
Cu,17.1,138,Al2O3,101.96,0,0,0,0,101.96,Ba ,5,0,0,673,4,166,3.8,10588.24,0.17,3,533,35.5,https://doi.org/10.1039/C2CY20604H
Pd,7,131,SiO2,60.08,0,0,0,0,60.08,Cu,9,0,0,723,5,309,3,3600,0.2,4.1,523,35.3,https://doi.org/10.1016/j.cattod.2018.02.055
Cu,18,138,Al2O3,101.96,0,0,0,0,101.96,0,0,0,0,673,4,184,3.8,10588.24,0.17,36,533,35.2,https://doi.org/10.1039/C2CY20604H
Pd,2.5,131,ZnO,81.38,CNT,12,0,0,93.38,0,0,0,0,573,2,133,3,1800,0,3,523,35,https://doi.org/10.1016/j.apcatb.2008.11.018
Cu,17.1,138,Al2O3,101.96,0,0,0,0,101.96,Ba ,5,0,0,673,4,166,3.8,10588.24,0.17,3,553,35,https://doi.org/10.1039/C2CY20604H
Cu,37,138,ZnO,81.38,ZrO2,123.22,0,0,204.6,0,0,0,0,623,3,5.4,3,1800,0.5,3,513,34.95,https://doi.org/10.1016/j.catcom.2009.05.004
Cu,15.76,138,ZnO,81.38,Al2O3,101.96,0,0,183.34,0,0,0,0,623,4,126,3,1500,0.7,4,493,34.9,https://doi.org/10.1016/j.jcou.2016.11.015
Cu,36,138,ZnO,81.38,Al2O3,101.96,0,0,183.34,N doped Graphene,7,0,0,623,5,87.7,3,2240,0.5,3,473,34.8,https://doi.org/10.1002/slct.201803186
Pd,18.1,131,ZnO,81.38,0,0,0,0,81.38,0,0,0,0,773,3,7.1,9,7500,0.5,0.1,548,34.59,https://doi.org/10.1007/s10562-015-1627-z
Cu,8.4,138,CNT,12,0,0,0,0,12,In,7,0,0,773,5,134.6,3,7500,0.2,0.5,553,34.5,https://doi.org/10.1002/aic.16490
In2O3,100,144,0,0,0,0,0,0,0,0,0,0,0,773,2,38.4,3,7500,0.2,3,513,34.14,https://doi.org/10.1021/acs.iecr.0c04688
In2O3,9,144,ZrO2,123.22,0,0,0,0,123.22,0,0,0,0,623,3,38,3,6000,0.2,0.1,523,34.06,https://doi.org/10.1016/j.cej.2021.131767
In2O3,100,144,0,0,0,0,0,0,0,0,0,0,0,573,3,112,3,9000,1,4,523,33.97,https://doi.org/10.1016/j.cej.2021.129120
Cu,18,138,Al2O3,101.96,0,0,0,0,101.96,0,0,0,0,673,4,184,3.8,10588.24,0.17,10,473,33.7,https://doi.org/10.1039/C2CY20604H
In2O3,100,144,0,0,0,0,0,0,0,0,0,0,0,623,3,22.8,4,16000,0.5,4,533,33.61,https://doi.org/10.1016/j.cclet.2020.05.031
Cu,17.1,138,Al2O3,101.96,0,0,0,0,101.96,Ba ,5,0,0,673,4,166,3.8,10588.24,0.17,10,533,33.5,https://doi.org/10.1039/C2CY20604H
Cu,12.3,138,ZrO2,123.22,CNT,12,0,0,135.22,0,0,0,0,623,2,161,3,3600,0.5,3,493,33.4,https://doi.org/10.1039/C5RA04774A
Cu,6.8,138,ZnO,81.38,0,0,0,0,81.38,Ga,2.5,0,0,873,2,15,3,18000,0.5,2,523,33.06,https://doi.org/10.1016/S0926-3373(00)00205-8
Pd,4,131,ZnO,81.38,AC,0,0,0,81.38,0,0,0,0,573,2,515,3,1800,0,3,523,33.05,https://doi.org/10.1016/j.apcatb.2008.11.018
Pd,18.1,131,ZnO,81.38,0,0,0,0,81.38,0,0,0,0,773,3,7.1,9,7500,0.5,0.1,498,32.86,https://doi.org/10.1007/s10562-015-1627-z
Cu,31.5,138,ZnO,81.38,ZrO2,123.22,0,0,204.6,Si ,0.45,0,0,623,4,175,3,15600,0.25,2,533,32.43,https://doi.org/10.1016/j.cej.2017.02.010
Pd,5,131,SiO2,60.08,0,0,0,0,60.08,Cu,9,0,0,723,5,305,3,3600,0.2,4.1,523,32.26,https://doi.org/10.1016/j.apcatb.2015.01.010
Cu,37.5,138,ZnO,81.38,Al2O3,101.96,0,0,183.34,N doped Graphene,4,0,0,623,5,58.6,3,2240,0.5,3,473,32.26,https://doi.org/10.1002/slct.201803186
Cu,14.2,138,ZnO,81.38,0,0,0,0,81.38,Ga ,4.2,0,0,623,3,10,3,10000,0.15,3,523,32.1,https://doi.org/10.1016/j.cattod.2014.06.012
Pd,5,131,ZnTiO3,242.64,0,0,0,0,242.64,0,0,0,0,623,3,18,3,3600,0.5,2,498,32.06,https://doi.org/10.1002/cctc.202000974
In2O3,39,144,Ga2O3,187.44,0,0,0,0,187.44,0,0,0,0,723,3,74,3,4500,0.5,3,593,32.06,https://doi.org/10.1016/j.apsusc.2019.05.363
Cu,56.26,138,ZnO,81.38,ZrO2,123.22,0,0,204.6,Mg ,3,0,0,573,4,12,3,13200,2,8,453,31.74,https://doi.org/10.1016/j.apcata.2006.05.035
Cu,30.8,138,ZnO,81.38,ZrO2,123.22,0,0,204.6,Si ,2.9,0,0,623,4,145,3,15600,0.25,2,533,31.69,https://doi.org/10.1016/j.cej.2017.02.010
Pd,5,131,SiO2,60.08,0,0,0,0,60.08,Cu,9,0,0,723,5,305,3,3600,0.2,4.1,523,31.68,https://doi.org/10.1016/j.cattod.2018.02.055
Pd,2,131,ZnO,81.38,CNT,12,0,0,93.38,0,0,0,0,573,2,121,3,1800,0,3,533,31.6,https://doi.org/10.1016/j.apcatb.2008.11.018
Cu,10,138,Al2O3,101.96,ZnO,81.38,ZrO2,123.22,306.56,Mn ,5,0,0,873,6,189.7,3,2016,5,2,523,31,https://doi.org/10.1016/j.jiec.2015.03.001
In2O3,9.8,144,Al2O3,101.96,0,0,0,0,101.96,0,0,0,0,623,3,27.2,3,21600,0.5,4,523,31,https://doi.org/10.1016/j.jiec.2015.03.001
Pd,2,131,ZnO,81.38,CNT,12,0,0,93.38,0,0,0,0,573,2,121,3,1800,0,3,513,30.8,https://doi.org/10.1016/j.apcatb.2008.11.018
In2O3,100,144,0,0,0,0,0,0,0,0,0,0,0,573,3,112,2,9000,1,4,523,30.09,https://doi.org/10.1016/j.cej.2021.129120
Cu,17.1,138,Al2O3,101.96,0,0,0,0,101.96,Ba ,5,0,0,673,4,166,3.8,10588.24,0.17,3,473,30,https://doi.org/10.1039/C2CY20604H
In2O3,5.1,144,CeO2,172.12,0,0,0,0,172.12,0,0,0,0,773,3,97,4,24000,0.1,5,553,30,https://doi.org/10.1039/C2CY20604H
Cu,8.6,138,TiO2,79.86,0,0,0,0,79.86,Pd,4.9,0,0,723,5,70,3,3600,0.2,4.1,523,29.95,https://doi.org/10.1016/j.apcata.2019.117210
Cu,37,138,ZnO,81.38,ZrO2,123.22,0,0,204.6,0,0,0,0,623,3,4.6,3,1800,0.5,3,513,29.94,https://doi.org/10.1016/j.catcom.2009.05.004
Cu,37,138,ZnO,81.38,ZrO2,123.22,0,0,204.6,0,0,0,0,623,3,5.5,3,1800,0.5,3,493,29.93,https://doi.org/10.1016/j.jcat.2010.01.009
Pd,5,131,ZnO,81.38,Al2O3,101.96,0,0,183.34,0,0,0,0,623,3,43.4,3,3600,0.5,3,453,29.61,https://doi.org/10.1016/j.apcata.2016.01.006
In2O3,100,144,0,0,0,0,0,0,0,0,0,0,0,773,2,38.1,3,7500,0.2,3,513,29.56,https://doi.org/10.1021/acs.iecr.0c04688
Pd,2.5,131,ZnO,81.38,CNT,12,0,0,93.38,0,0,0,0,573,2,133,3,1800,0,3,533,29.54,https://doi.org/10.1016/j.apcatb.2008.11.018
In2O3,94.3,144,0,0,0,0,0,0,0,Ir,5.67,0,0,723,3,68,4,21000,0.2,5,473,29.52,https://doi.org/10.1021/acscatal.0c05628
Pd,2.5,131,ZnO,81.38,CNT,12,0,0,93.38,0,0,0,0,573,2,133,3,1800,0,3,513,29.28,https://doi.org/10.1016/j.apcatb.2008.11.018
Pd,10.9,131,ZnO,81.38,0,0,0,0,81.38,0,0,0,0,623,3,8.6,9,7500,0.5,0.1,498,29.11,https://doi.org/10.1007/s10562-015-1627-z
Cu,12.8,138,ZrO2,123.22,CNT,12,0,0,135.22,0,0,0,0,623,2,154,3,3600,0.5,3,493,28.9,https://doi.org/10.1039/C5RA04774A
Cu,37,138,ZnO,81.38,ZrO2,123.22,0,0,204.6,0,0,0,0,623,3,5.5,3,1800,0.5,3,533,28.84,https://doi.org/10.1016/j.jcat.2010.01.009
Cu,8.4,138,SBA-15,60,0,0,0,0,60,0,0,0,0,973,4,324.7,3,12000,0.05,3,533,28.8,https://doi.org/10.1016/j.apcatb.2019.03.059
In2O3,99.42,144,0,0,0,0,0,0,0,Pt,0.58,0,0,723,3,87.3,3,24000,0.1,2,493,28.52,https://doi.org/10.1016/j.jcat.2020.06.018
Cu,10,138,CeO2,172.12,0,0,0,0,172.12,Pd,1,0,0,673,4,18,3,3000,0.2,3,523,28.22,https://doi.org/10.1016/j.mcat.2017.02.005
Cu,10,138,Al2O3,101.96,ZnO,81.38,ZrO2,123.22,306.56,Mn ,5,0,0,873,6,189.7,3,4320,5,2,503,28.2,https://doi.org/10.1016/j.jiec.2015.03.001
Cu,8.4,138,SBA-15,60,0,0,0,0,60,0,0,0,0,973,4,324.7,3,12000,0.05,3,493,28.1,https://doi.org/10.1016/j.apcatb.2019.03.059
Pd,4,131,ZnO,81.38,AC,0,0,0,81.38,0,0,0,0,573,2,515,3,1800,0,3,513,28.01,https://doi.org/10.1016/j.apcatb.2008.11.018
Cu,10,138,CeO2,172.12,0,0,0,0,172.12,Pd,1,0,0,673,4,18,3,3000,0.2,3,503,28,https://doi.org/10.1016/j.mcat.2017.02.005
In2O3,99,144,0,0,0,0,0,0,0,Ru,1,0,0,723,3,66,4,21000,0.2,5,473,27.93,https://doi.org/10.1016/j.jcou.2021.101720
In2O3,3.5,144,SiO2,60.08,0,0,0,0,60.08,Ni,5.2,Al,1,673,4,296.6,3,12000,0.1,0.1,533,27.87,https://doi.org/10.1021/acscatal.7b00848
In2O3,9,144,ZrO2,123.22,0,0,0,0,123.22,0,0,0,0,623,3,38,3,6000,0.2,0.1,563,27.85,https://doi.org/10.1016/j.cej.2021.131767
Cu,8.4,138,SBA-15,60,0,0,0,0,60,0,0,0,0,973,4,324.7,3,12000,0.05,3,513,27.8,https://doi.org/10.1016/j.apcatb.2019.03.059
Cu,10,138,CeO2,172.12,0,0,0,0,172.12,Pd,1,0,0,673,4,18,3,3000,0.2,3,543,27.62,https://doi.org/10.1016/j.mcat.2017.02.005
Pd,4,131,ZnO,81.38,AC,0,0,0,81.38,0,0,0,0,573,2,515,3,1800,0,3,533,27.56,https://doi.org/10.1016/j.apcatb.2008.11.018
Pd,1.96,131,CeO2,172.12,0,0,0,0,172.12,0,0,0,0,573,5,106.3,3,6000,0.3,3,513,27.16,https://doi.org/10.1021/acscatal.0c03324
In2O3,20,144,ZrO2,123.22,0,0,0,0,123.22,0,0,0,0,900,2,91,3,9000,0.5,2,673,26.59,https://doi.org/10.1016/j.cattod.2020.03.011
Cu,14.2,138,ZnO,81.38,0,0,0,0,81.38,Ga ,4.2,0,0,623,3,10,3,10000,0.15,3,523,26.56,https://doi.org/10.1016/j.cattod.2014.06.012
In2O3,55,144,Ga2O3,187.44,0,0,0,0,187.44,0,0,0,0,723,3,133,3,4500,0.5,3,593,26.55,https://doi.org/10.1016/j.apsusc.2019.05.363
In2O3,100,144,0,0,0,0,0,0,0,0,0,0,0,623,3,22.8,4,8000,0.5,4,613,26.5,https://doi.org/10.1016/j.cclet.2020.05.031
Cu,10,138,CeO2,172.12,0,0,0,0,172.12,Pd,1,0,0,673,4,18,3,3000,0.2,3,483,26.4,https://doi.org/10.1016/j.mcat.2017.02.005
Pd,2,131,ZnO,81.38,Al2O3,101.96,0,0,183.34,0,0,0,0,623,3,43.4,3,3600,0.5,3,473,26.22,https://doi.org/10.1016/j.apcata.2016.01.006
In2O3,100,144,0,0,0,0,0,0,0,0,0,0,0,773,2,37.7,3,7500,0.2,3,513,26.1,https://doi.org/10.1021/acs.iecr.0c04688
